Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
Naive Bayes,1.0,1.0,1.0,1.0,0.005533933639526367
Logistic Regression,0.9863636363636363,0.9876033057851241,0.9863636363636363,0.9863294600136705,0.06633448600769043
Random Forest,0.9863636363636363,0.9882920110192838,0.9863636363636363,0.9862604168824265,0.27443742752075195
KNN,0.9818181818181818,0.9853782581055309,0.9818181818181817,0.9814929092086181,0.003785848617553711
SVM,0.9772727272727273,0.9808328035600763,0.9772727272727273,0.9769474546631635,0.10762882232666016
